respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3
308,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
309,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
310,1,0.0,0.8016360467255456,0.09463398522838945,0.1037299680460651
311,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
312,1,0.0,0.5091036488203741,0.484211107351618,0.006685243828007887
313,1,0.0,0.6535747938870106,0.3351288724235621,0.011296333689427363
314,2,0.0,0.4200693695152723,0.5761405220476364,0.0037901084370913878
315,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
316,1,0.0,0.6535747938870106,0.3351288724235621,0.011296333689427363
317,1,0.0,0.6026326331807085,0.3973673291370506,3.768224085801243e-08
318,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
319,2,0.0,0.20430893147853568,0.7956889705413794,2.0979800850995405e-06
320,2,0.0,0.16853147230612187,0.8314046070689148,6.392062496311469e-05
321,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
322,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
323,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
324,2,0.0,0.20430893147853568,0.7956889705413794,2.0979800850995405e-06
325,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
326,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
327,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
328,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
329,2,0.0,0.4200693695152723,0.5761405220476364,0.0037901084370913878
330,2,0.0,0.3931990297981516,0.6045964535100947,0.002204516691753737
331,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
332,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
333,2,0.0,0.022884677592284765,0.9771151985819562,1.2382575923706283e-07
334,2,0.0,0.0016190455772198652,0.9983809543610513,6.17289269147329e-11
335,2,0.0,4.393898825912005e-05,0.9999560610117411,2.438265358264468e-17
336,2,0.0,0.00010820100619256014,0.9998917989937868,2.04431353665237e-14
337,2,0.0,0.0016190455772198652,0.9983809543610513,6.17289269147329e-11
338,2,0.0,0.000595190442349846,0.9994048095574816,1.686382642339833e-13
339,2,0.0,0.000595190442349846,0.9994048095574816,1.686382642339833e-13
340,2,0.0,0.05361620549958492,0.9463837902507081,4.2497070250651335e-09
341,2,0.0,4.393898825912005e-05,0.9999560610117411,2.438265358264468e-17
342,2,0.0,0.000595190442349846,0.9994048095574816,1.686382642339833e-13
343,2,0.0,0.022884677592284765,0.9771151985819562,1.2382575923706283e-07
344,2,0.0,0.0016190455772198652,0.9983809543610513,6.17289269147329e-11
345,2,0.0,0.000595190442349846,0.9994048095574816,1.686382642339833e-13
346,2,0.0,0.038877028847892646,0.961122683175121,2.8797698635651245e-07
347,2,0.0,0.0016190455772198652,0.9983809543610513,6.17289269147329e-11
348,2,0.0,0.0020339864351423356,0.9979660135642506,6.069687670896525e-13
349,2,0.0,1.330589089168337e-05,0.9999866941091081,6.874214626621844e-18
350,2,0.0,0.0016190455772198652,0.9983809543610513,6.17289269147329e-11
351,2,0.0,0.000595190442349846,0.9994048095574816,1.686382642339833e-13
352,2,0.0,0.0016190455772198652,0.9983809543610513,6.17289269147329e-11
353,2,0.0,0.0010187429765111335,0.9989812570234883,4.8244896612316425e-16
354,0,0.9970450520598482,0.002917560629253532,4.456071218210769e-06,3.293123968007732e-05
355,1,0.0,0.6759853046566194,0.14104703888420222,0.18296765645917853
356,1,0.0,0.8016360467255456,0.09463398522838945,0.1037299680460651
357,2,0.0,0.4200693695152723,0.5761405220476364,0.0037901084370913878
358,1,0.0,0.5091036488203741,0.484211107351618,0.006685243828007887
359,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
360,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
361,3,0.0,0.4103258580493188,0.08845987829751854,0.5012142636531626
362,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
363,3,0.0,0.11038105144758546,0.016241066633846835,0.8733778819185679
364,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
365,3,0.0,0.2871367179146447,0.023675699022882083,0.6891875830624732
366,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
367,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
368,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
369,1,0.0,0.5091036488203741,0.484211107351618,0.006685243828007887
370,1,0.0,0.8016360467255456,0.09463398522838945,0.1037299680460651
371,1,0.0,0.7720476971460679,0.0007260280844356294,0.22722627476949658
372,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
373,1,0.0,0.9026319714013488,0.046869536594049535,0.05049849200460182
374,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
375,2,0.0,0.45499420886801056,0.5447245710619502,0.0002812200700390034
376,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
377,1,0.0,0.9682663738275521,0.0024045747949726524,0.02932905137747556
378,1,0.0,0.6535747938870106,0.3351288724235621,0.011296333689427363
379,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
380,1,0.0,0.5829240456605269,0.0621918709395751,0.3548840833998978
