respondent,assigned_class,post_profile_0,post_profile_1
152,0,0.8184007155377541,0.18159928446224588
153,0,0.9196398183364037,0.08036018166359632
154,0,0.9212317466791067,0.07876825332089328
155,0,0.9212317466791067,0.07876825332089328
156,0,0.8486496577447404,0.15135034225525967
157,0,0.8967031315133432,0.10329686848665662
158,0,0.7258787746327156,0.2741212253672845
159,0,0.9176175896850907,0.08238241031490931
160,0,0.5996599278706654,0.40034007212933476
161,0,0.8367322011739955,0.16326779882600448
162,0,0.863876634731978,0.13612336526802205
163,1,0.12407860988598868,0.8759213901140112
164,1,0.005339020615077236,0.9946609793849229
165,1,0.0003569999890222544,0.9996430000109774
166,0,0.5341654868192665,0.4658345131807333
167,0,0.8942790671658533,0.10572093283414667
168,0,0.8184007155377541,0.18159928446224588
169,0,0.8907236239108801,0.1092763760891198
170,0,0.8184007155377541,0.18159928446224588
171,0,0.8942790671658533,0.10572093283414667
172,0,0.863876634731978,0.13612336526802205
173,0,0.7922202802150948,0.20777971978490514
174,0,0.9082674359843185,0.09173256401568156
175,0,0.8967031315133432,0.10329686848665662
176,1,0.37268670999519105,0.6273132900048091
177,0,0.9141927262017082,0.08580727379829184
178,0,0.8942790671658533,0.10572093283414667
179,0,0.8997036518285733,0.10029634817142678
180,0,0.7922202802150948,0.20777971978490514
181,0,0.8997036518285733,0.10029634817142678
182,0,0.9098715210949928,0.09012847890500726
183,1,1.6284666615423989e-06,0.9999983715333388
184,0,0.9196398183364037,0.08036018166359632
185,0,0.8967031315133432,0.10329686848665662
186,1,0.37268670999519105,0.6273132900048091
187,1,0.43304757008960476,0.5669524299103952
188,0,0.8486496577447404,0.15135034225525967
189,0,0.8799887993279241,0.12001120067207591
190,0,0.919997572111041,0.08000242788895913
191,0,0.8997036518285733,0.10029634817142678
192,0,0.8184007155377541,0.18159928446224588
193,0,0.8408795361432747,0.15912046385672537
194,0,0.9074459016110682,0.09255409838893183
195,0,0.9074459016110682,0.09255409838893183
196,0,0.8799887993279241,0.12001120067207591
197,0,0.876992344784619,0.12300765521538093
198,0,0.8942790671658533,0.10572093283414667
199,0,0.9141927262017082,0.08580727379829184
200,0,0.9212317466791067,0.07876825332089328
201,0,0.7654412279167433,0.23455877208325643
202,0,0.8907236239108801,0.1092763760891198
203,0,0.8997036518285733,0.10029634817142678
204,0,0.9082674359843185,0.09173256401568156
205,0,0.919997572111041,0.08000242788895913
206,0,0.9141927262017082,0.08580727379829184
207,1,0.43304757008960476,0.5669524299103952
208,1,0.43304757008960476,0.5669524299103952
209,0,0.8967031315133432,0.10329686848665662
210,0,0.8367322011739955,0.16326779882600448
211,0,0.8408795361432747,0.15912046385672537
212,0,0.8184007155377541,0.18159928446224588
213,1,0.4578692119093789,0.5421307880906212
214,0,0.8997036518285733,0.10029634817142678
215,0,0.8942790671658533,0.10572093283414667
216,0,0.897095225456204,0.10290477454379605
217,0,0.863876634731978,0.13612336526802205
218,0,0.8799887993279241,0.12001120067207591
219,1,0.3148750408132272,0.6851249591867729
220,1,0.48581042473464325,0.5141895752653567
221,0,0.8367322011739955,0.16326779882600448
222,0,0.8184007155377541,0.18159928446224588
223,0,0.7258787746327156,0.2741212253672845
224,0,0.9196398183364037,0.08036018166359632
225,0,0.9176175896850907,0.08238241031490931
