construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
CON,3,6,3.808080808080809,4.36986301369863,-7.031416225090776,335.0,1.5868380164547016e-10,-0.9327833185999438,-0.7200494638724301,-0.4035149473632128
CON,4,5,3.9768707482993193,2.566666666666666,12.453948870137877,313.0,9.089320828248379e-21,2.2008920437187176,1.1850226776830917,1.635385485582215
CON,4,6,3.9768707482993193,4.36986301369863,-4.981266469061841,316.0,2.3842993479479637e-06,-0.7029293413580762,-0.5493556466772263,-0.23662888412139566
CON,5,6,2.566666666666666,4.36986301369863,-13.985807322605774,141.0,5.823102462342458e-27,-2.358433301567845,-2.058469528854163,-1.5479231652097656
SNO,0,1,4.31079478054567,3.1173333333333333,16.33950478439212,404.0,8.962678691804719e-39,1.8936624008878522,1.0494378451975865,1.3374850492270876
SNO,0,2,4.31079478054567,4.697530864197531,-6.290496853833634,387.0,1.7325738866212279e-09,-0.6769419513794064,-0.5079122766031743,-0.26555989070054675
SNO,0,3,4.31079478054567,3.7588383838383836,11.513788284488886,543.0,1.3556208871067655e-27,0.9837233920882887,0.457787978065351,0.6461248153492224
SNO,0,4,4.31079478054567,4.043537414965986,5.235203016924295,524.0,2.4027303208862723e-07,0.45718988621733386,0.16696588319499556,0.36754884796437365
SNO,0,5,4.31079478054567,2.4047619047619047,16.370334157183624,349.0,9.342782194001447e-28,2.847344376651505,1.6744650197041866,2.137600731863345
SNO,0,6,4.31079478054567,4.621004566210045,-4.784403446162484,352.0,4.3546020292930525e-06,-0.5487616013283594,-0.4384145041247762,-0.1820050672039735
SNO,1,2,3.1173333333333333,4.697530864197531,-19.37366393951818,231.0,7.284199957884355e-50,-2.4895674635553537,-1.7409242392532158,-1.4194708224751793
SNO,1,3,3.1173333333333333,3.7588383838383836,-8.920879003196307,387.0,3.7851998219118076e-16,-1.0754345076050333,-0.7833468390274374,-0.49966326198266325
SNO,1,4,3.1173333333333333,4.043537414965986,-12.512720483587504,368.0,3.510670782403983e-27,-1.4713972080255604,-1.072127211775048,-0.780280951490257
SNO,1,5,3.1173333333333333,2.4047619047619047,5.559260166066077,193.0,1.7698429004209977e-07,0.8920723843443292,0.4586878285352239,0.9664550286076334
SNO,1,6,3.1173333333333333,4.621004566210045,-17.874357218669626,196.0,7.561432934134718e-43,-2.364907358215114,-1.6695889471114296,-1.3377535186419942
