respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
607,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
608,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
609,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
610,0,0.689929534576861,0.19960156891406097,0.1104688965090778
611,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
612,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
613,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
614,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
615,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
616,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
617,0,0.7656504744372816,0.1473649323869845,0.08698459317573387
618,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
619,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
620,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
621,0,0.7229136388236292,0.12373321269172173,0.1533531484846489
622,0,0.70608640473623,0.20314629402365036,0.09076730124011992
623,0,0.8631493518462965,0.08630545287710131,0.05054519527660229
624,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
625,1,0.4227156442367992,0.5143897760584499,0.06289457970475065
626,1,0.4227156442367992,0.5143897760584499,0.06289457970475065
627,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
628,0,0.7644110456144666,0.06951491004405277,0.16607404434148054
629,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
630,0,0.6928354282773963,0.1744078489839406,0.1327567227386633
631,0,0.9643045745481876,0.006307308841064857,0.02938811661074755
632,0,0.6330943242655602,0.0679920259926905,0.29891364974174917
633,1,0.003378750592849616,0.9917824755418183,0.004838773865332243
634,2,0.41133325640661766,0.07416553233099675,0.5145012112623856
635,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
636,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
637,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
638,0,0.9147627744746637,0.014761457781342864,0.07047576774399349
639,0,0.6660049981502789,0.30947547295605293,0.02451952889366827
640,0,0.8631493518462965,0.08630545287710131,0.05054519527660229
641,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
642,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
643,0,0.689929534576861,0.19960156891406097,0.1104688965090778
644,1,0.04236149342470711,0.8443236824476426,0.11331482412765022
645,0,0.7229136388236292,0.12373321269172173,0.1533531484846489
646,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
647,1,0.059134393994596,0.6311125979440076,0.3097530080613963
648,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
649,0,0.689929534576861,0.19960156891406097,0.1104688965090778
650,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
651,0,0.7229136388236292,0.12373321269172173,0.1533531484846489
652,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
653,1,0.4227156442367992,0.5143897760584499,0.06289457970475065
654,0,0.9795804239351855,0.012948405187818566,0.007471170876996239
655,1,0.38074881940066146,0.517918011186552,0.10133316941278654
656,1,0.38074881940066146,0.517918011186552,0.10133316941278654
657,2,0.41133325640661766,0.07416553233099675,0.5145012112623856
658,1,1.7371526490670933e-10,0.9999998899260482,1.0990023690767707e-07
659,2,0.12423234509047983,0.0034764356429308825,0.8722912192665894
660,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
661,0,0.9665206492335832,0.013867393688835532,0.019611957077581378
662,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
663,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
664,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
665,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
666,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
