profile,predictor,primary_beta,primary_p,primary_FDR_p,primary_OR,beta_drop_ATT,beta_drop_CON,beta_drop_COVID,beta_drop_PEU,beta_drop_PO,beta_drop_PRI,beta_drop_PU,beta_drop_SNO,p_FDR_drop_ATT,p_FDR_drop_CON,p_FDR_drop_COVID,p_FDR_drop_PEU,p_FDR_drop_PO,p_FDR_drop_PRI,p_FDR_drop_PU,p_FDR_drop_SNO,std_beta,std_FDR_p,n_FDR_sig_dropouts_of_total,fdr_sig_in_drop_ATT,fdr_sig_in_drop_CON,fdr_sig_in_drop_COVID,fdr_sig_in_drop_PEU,fdr_sig_in_drop_PO,fdr_sig_in_drop_PRI,fdr_sig_in_drop_PU,fdr_sig_in_drop_SNO,fdr_sig_in_standardized,primary_significant_FDR
4,CON,0.15732586936597756,0.39093932019292665,0.5979071955891819,1.170376941757971,0.052896253524020935,,0.12760615512090584,0.1526646443854377,0.1564113481740608,0.13707502607135136,0.13626307241459354,0.08935605876181042,0.883532466074533,,0.6651221532325841,0.6288531827080642,0.5662205548758936,0.63806666045651,0.6571866516455768,0.7896637837080721,0.12238944446946735,0.5977817555377362,0,False,False,False,False,False,False,False,False,False,False
4,SNO,-0.6451116648926943,0.0008865970395010643,0.004939612077220215,0.5246039589910273,-0.677920483327561,-0.6252962075836399,-0.7035631189885886,-0.6713454479109516,-0.6434635404280947,-0.6921989266358496,-0.6452359658614158,,0.002387876580467549,0.005987774553984005,0.0007082607726182105,0.0027830657036541384,0.003961454929792119,0.002141100536590183,0.005027331518507871,,-0.5405620774348571,0.004897167578124647,7,True,True,True,True,True,True,True,False,True,True
4,COVID,-0.18058554534088103,0.3508951540011186,0.5623897124569548,0.8347812659944289,-0.20466057765811665,-0.15038260340405288,,-0.1763387868683429,-0.1813784559777686,-0.17677160521110244,-0.19069479789306684,-0.3749046252434616,0.4959898690485076,0.644189828538544,,0.604202801837735,0.5342604855603064,0.5697451269930724,0.5172668029249531,0.10804426725284677,-0.13912932521021007,0.5632011121706151,0,False,False,False,False,False,False,False,False,False,False
4,PU,-0.2418994411342539,0.20624487822270543,0.38302620241359575,0.7851351258800017,-0.2358607813153501,-0.23109155910133167,-0.26282778471071666,-0.2764298713657624,-0.23777432642300497,-0.3401620821821241,,-0.24336960931647172,0.4123299946443818,0.4063743497905749,0.33053563882122616,0.37068733012044863,0.3644235455889489,0.20856213674892166,,0.3795118482697068,-0.18112801781173585,0.38392477879779285,0,False,False,False,False,False,False,False,False,False,False
4,PEU,-0.16103556566045907,0.21451008333728083,0.38911131396064896,0.8512617948807988,-0.17008912742784757,-0.1594837137072781,-0.16136229413348,,-0.16054307817408717,-0.163080425499592,-0.1752359340382561,-0.19899758250197752,0.38824677828308324,0.40422882966537627,0.39412803197900215,,0.3644235455889489,0.4349938327869147,0.34173587888051343,0.2623390457033915,-0.1438212224463537,0.3882548653466262,0,False,False,False,False,False,False,False,False,False,False
4,PO,0.010163813914677862,0.9429592531380108,0.9905612395197669,1.0102156409091467,-0.01715480001804011,0.019363529990197605,0.009804377183301032,-0.021244138812006184,,-0.03405465711556823,-0.03348365429375687,-0.0699980533093146,0.9479800610146055,0.9780632577146036,0.9717844952632279,0.9831147357144747,,0.9019234898682578,0.9019488061991414,0.7896637837080721,0.009038242254624127,0.9901820138436779,0,False,False,False,False,False,False,False,False,False,False
4,PRI,-0.7768789585294317,4.7234835273031746e-05,0.00030702642927470634,0.4598389504449287,-0.7765465125238903,-0.7708786001392935,-0.7789091274636102,-0.7673864411747204,-0.7772263602077906,,-0.8275951628184315,-0.8226633075053379,0.00026945713812888097,0.0003190348743427952,0.0002710418905255507,0.00030640277296949115,0.00027402709523874857,,0.00013239535418202458,0.0001239938122603505,-0.5546525763769842,0.0003084206820194605,7,True,True,True,True,True,False,True,True,True,True
4,age,0.025375661890602325,0.056682178827745636,0.17004653648323692,1.0257003646973148,0.02447870181547163,0.025431818833739978,0.024890941445772828,0.025514062891671057,0.025371496115204985,0.024822888759378773,0.025940146373955853,0.021341904950655487,0.19517706315451303,0.1546304582781519,0.16262141594149856,0.17268099422506217,0.15583980057168195,0.19464895453170597,0.15233450656304867,0.22431598881905135,0.20208027172178986,0.169897406896309,0,False,False,False,False,False,False,False,False,False,False
4,gender,-0.26585173848787635,0.1533039689407669,0.3473090335282214,0.7665527693491612,-0.30442277003898655,-0.26726170235055885,-0.25823130203493777,-0.25235033548618246,-0.26528125221429183,-0.2856714233209195,-0.2678968499559107,-0.21577705604107933,0.2644629898452235,0.3127213020436062,0.33053563882122616,0.3901330542226563,0.3384065547866534,0.29975388845546636,0.2962613663186978,0.44462914699111694,-0.26632139359821183,0.34453391265333144,0,False,False,False,False,False,False,False,False,False,False
4,Education,-0.0016566155692550961,0.9905612395197668,0.9905612395197669,0.9983447558609017,-0.017105188622281095,-0.009061957184973936,0.001355059201828789,0.009525104855769389,-0.00041295527662193587,-0.015690923610996207,-0.0011763794907806227,-0.03506023540593138,0.9479800610146055,0.985256007707097,0.9966323293818318,0.9868145687341521,0.997642908454854,0.9749739351937794,0.9932929979451333,0.8441406074833219,-0.0012516021104331926,0.9901820138436779,0,False,False,False,False,False,False,False,False,False,False
