bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5
35,True,61,-215.47098081030282,678.0886644624709,3.883563027440965,335,0.9511313230061252,0.40221214776868375,268,-1.0179011096497002,-0.6811988283139828,250,0.1587386174162029,0.11656135111220008,51,-2.396027876203368,-1.7969273623327773,96,1.0746709701181434,1.6491032288636134,166,-0.29050708138790554,-0.18042581620854917
36,True,41,-670.9139728027678,1588.974648447401,3.5352661667391314,273,-0.1866923495657526,0.19330195992337945,246,-0.34320964369251233,-0.4372671837752125,184,0.7261794566552255,-0.11295612058776021,97,-0.8799794855874711,-1.6160903376652038,135,0.964316180953186,1.5719799890306414,231,0.006673599360168349,0.17143022708142008
37,True,41,-633.1740062959785,1513.4947154338224,0.4902310084672743,110,1.4325841555600105,0.8442791898024643,304,-0.733187408932753,-0.2167464552333679,297,0.7704200885043936,0.2249157087111027,129,-1.2789630024206293,-1.2441337561579915,54,0.6897979980236189,1.6519488953983523,272,0.13770576379026497,0.09805031894972055
38,True,37,-1810.3313322262702,3867.8093672944055,4.594138674354264,440,0.38132129669702264,0.37048183269989904,239,-0.28722335968840457,-0.42421953494521913,152,-0.18167100697004288,-1.1005736390844705,49,-1.9142818559061257,-1.5979618336606567,153,0.9132726321642043,1.5094963703699362,133,-0.34175223950602496,0.03033846392519738
39,True,48,-958.3195495610839,2163.785801964033,4.264675967937398,349,0.9237937514643202,0.3941209817255924,349,-0.6380166592187072,-0.4605053846565371,282,0.16544818212121884,0.24522062606774087,84,-1.7909936870102376,-1.705740473719971,86,0.9048670555532891,1.454843022319188,16,-1.8400426803798464,0.3060540840962889
40,True,43,-912.8689647887734,2072.884632419412,3.1352682887647454,346,0.8977656308371471,0.3406314823851416,88,-1.301862430533402,-0.8254087639546881,272,0.15688770388456927,0.05103875419962317,148,-1.4393993744115476,-1.227520610479408,103,0.9143979531907198,1.63768956804811,209,-0.3938319231562688,-0.08244677213768903
41,True,28,-2162.6052248848955,4572.357152611657,2.8712808258764952,129,1.4031242734487281,0.9707467870015203,181,-0.9777574498842533,-1.142784475086993,381,0.33465584429775075,0.1881960581019133,36,-1.5293519159988997,-1.4312054371306024,183,0.4137906293008162,1.0658383899886468,256,-0.30877085294655787,-0.3581181969551129
42,True,34,-877.9011410117137,2002.9489848652927,1.3474678650792793,123,1.4549402930107924,0.7972000795468679,336,-0.637970562935442,-0.40471572606413775,284,0.7645839960176102,0.3296030029722031,98,-1.7251656798866812,-1.1098909945772177,49,0.16664328230216555,1.4799974462236294,276,0.12992567573618918,0.11669080984160626
43,True,32,-935.1061439853897,2117.3589908126446,0.8752132775642378,118,1.513793873659805,0.8751548825295237,269,-0.6861215805060482,-0.1654099929195728,321,0.7732114669435052,0.3738003980705446,185,-1.3463445074435718,-1.3152164028553095,12,0.28001629105441245,1.410738184141509,261,0.14480448119289765,0.21868281364283132
44,True,24,-1440.3732153535514,3127.893133548968,3.251416883624256,113,1.4447125292529617,0.9286952874172681,314,-0.7149384885868733,-0.74759789645811,176,0.0814315212522792,0.37717843352865826,46,-2.3746723163953765,-2.4883104882010842,189,0.6538346724316673,1.135812545921983,328,0.23479532401411132,0.06363912995827192
45,True,38,-104.41925954886995,455.9852219396052,1.5483217116775083,159,1.228116365611741,0.34203761038708075,372,-0.65958600791894,-0.32813839435544717,181,0.616223964287551,0.37157893215947646,98,-1.6606411818040425,-1.2990904017514948,110,1.0031642710912987,1.6164037174742996,246,0.1781037555318898,0.029765247256160095
46,True,31,-736.5784597976962,1720.3036224372577,2.3159641749399995,126,1.4471857754344506,0.9026493460197336,328,-0.5935130010980111,-0.43618505662833723,288,0.7788240637744434,0.44179981526250844,100,-1.616795492043779,-1.4656123985997866,46,-0.714067928046365,0.9336151945413775,278,0.1739825957388499,0.17161778764776567
47,True,63,-1011.7171111998872,2270.5809252416398,3.954458905493368,351,0.9011524652151575,0.3012448001569291,24,-1.9423678686432673,0.32884438484973466,269,0.11651443947201817,0.018093894180278503,143,-1.4483281249223308,-1.2076526125877223,107,0.939842030992639,1.6148403717222009,272,-0.5079138278326346,-0.24559059754719356
